日付,ユーザー,ギフト名,合計コイン数
2025-10-07,あか,Rose,32
2025-10-07,ひなどり,Rose,2
2025-10-07,あか,Rose,113
2025-10-07,あか,Rose,35
2025-10-07,あか,Rose,24
2025-10-07,あか,Rose,126
2025-10-07,ﾓ,Heart Me,1
2025-10-07,ﾓ,Hand Heart,100
2025-10-07,ﾓ,Popular Vote,1
2025-10-07,あか,Puppy Kisses,299
2025-10-07,あか,Puppy Kisses,299
2025-10-07,あか,Puppy Kisses,299
2025-10-07,あか,Puppy Kisses,299
2025-10-07,あか,Puppy Kisses,299
2025-10-07,しげ,Rose,1
2025-10-07,あか,Rose,1
2025-10-07,あか,Puppy Kisses,299
2025-10-07,あか,Puppy Kisses,299
2025-10-07,あか,Heart Me,1
2025-10-07,megu.🐼🐷🍮🐾,Heart Me,1
2025-10-07,Nono,Heart Me,1
2025-10-07,あか,Rose,1
2025-10-07,あか,Hat and Mustache,99
2025-10-07,あか,Hat and Mustache,99
2025-10-07,あか,Hat and Mustache,99
2025-10-07,saten24,Heart Me,1
2025-10-07,あか,Hat and Mustache,99
2025-10-07,あか,Hat and Mustache,99
2025-10-07,saten24,Hat and Mustache,99
2025-10-07,あか,Hat and Mustache,99
2025-10-07,流季(ryūki),Heart Me,1
2025-10-07,あか,Hat and Mustache,99
2025-10-07,天音ことね🌠🎶,Heart Me,1
2025-10-07,あか,Hat and Mustache,99
2025-10-07,あか,Hat and Mustache,99
2025-10-07,ﾓ,Hand Heart,100
2025-10-07,ﾓ,Hat and Mustache,99
2025-10-07,あか,Coral,499
2025-10-07,あか,Hat and Mustache,99
2025-10-07,天音ことね🌠🎶,Hearts,199
2025-10-07,ラバー,Heart Me,1
2025-10-07,岐阜のエヌワン乗り,Heart Me,1
2025-10-07,✩⃛☆꒡̈⃝ ALICE💫KID  ⍤⃝♡🌱𓏸*･ﾟ✨,Heart Me,1
2025-10-07,弱虫,Fukkachan,20
2025-10-07,桐ヶ谷たま,Nice to meet U,1
2025-10-07,とく,Rose,1
2025-10-07,桐ヶ谷たま,TikTok,1
2025-10-07,ﾓ,Nice to meet U,1
2025-10-07,ﾓ,Nice to meet U,1
2025-10-07,ﾓ,Finger Heart,5
2025-10-07,a..,Heart Me,1
