日付,ユーザー,ギフト名,合計コイン数
2025-10-02,"BUDYS,E",Heart Me,1
2025-10-02,日本の未来は魚魚魚魚🐟,Suprised Fish,5
2025-10-02,たつや,Rosa,10
2025-10-02,日本の未来は魚魚魚魚🐟,Boo,10
2025-10-02,日本の未来は魚魚魚魚🐟,Boo,10
2025-10-02,日本の未来は魚魚魚魚🐟,Boo,20
2025-10-02,日本の未来は魚魚魚魚🐟,Fireworks,1088
2025-10-02,Amany,Heart Me,1
2025-10-02,日本の未来は魚魚魚魚🐟,Boo,10
2025-10-02,日本の未来は魚魚魚魚🐟,Floating Octopus,199
2025-10-02,日本の未来は魚魚魚魚🐟,Swan,699
2025-10-02,たつや,Backing Monkey,349
2025-10-02,haruki,Rose,1
2025-10-02,haruki,Heart Me,1
2025-10-02,KAZU,Rose,1
2025-10-02,マンチカン😈,Rose,1
2025-10-02,マンチカン😈,Rose,1
2025-10-02,たつや,Rosa,40
2025-10-02,Aliyah _95 💋,Heart Me,1
2025-10-02,AokiX,Rose,1
2025-10-02,AokiX,Heart Me,1
2025-10-02,マンチカン😈,Rose,1
2025-10-02,علي الظايع,Rose,1
2025-10-02,マンチカン😈,Rose,1
2025-10-02,jasmine,Heart Me,1
2025-10-02,バーニャカウダ,Rose,2
2025-10-02,バーニャカウダ,Rose,1
2025-10-02,たつや,Rosa,30
2025-10-02,マンチカン😈,Rose,1
2025-10-02,てるちん。,Heart Me,1
2025-10-02,Ikaika,Heart Me,1
2025-10-02,たつや,Rosa,40
2025-10-02,たつや,Doughnut,60
2025-10-02,bella,Heart Me,1
2025-10-02,黒猫🐈‍⬛,Rose,1
2025-10-15,Lestari famili,Heart Me,1
2025-10-15,太郎 田中,Heart Me,1
2025-10-15,Sannn,Heart Me,1
2025-10-15,かいり,Heart Me,1
2025-10-15,Fauzan123,Heart Me,1
2025-10-15,たつや,Doughnut,30
2025-10-15,かいり,Rose,1
2025-10-15,かいり,Rosa,10
2025-10-15,かいり,Strawberry Moon,10
2025-10-15,かいり,Good Morning,399
2025-10-15,かいり,Doughnut,30
2025-10-15,SIGIT HAN,Heart Me,1
2025-10-15,moridodge,Heart Me,1
2025-10-15,はなこ,Heart Me,1
2025-10-15,たつや,Rosa,10
2025-10-15,teh yeni,Heart Me,1
2025-10-15,Tuti Ngapak,Rose,1
