日付,ユーザー,ギフト名,合計コイン数
2025-10-17,るな,Floating Lanterns,500
2025-10-17,るな,Floating Lanterns,500
2025-10-17,るな,Floating Lanterns,500
2025-10-17,るな,Floating Lanterns,500
2025-10-17,るな,Floating Lanterns,500
2025-10-17,てる💫🌙,Heart Me,1
2025-10-17,すえぱぱ🔨(モカ🍫✨️のコーギー🐶🍞),Mooncake,1
2025-10-17,すえぱぱ🔨(モカ🍫✨️のコーギー🐶🍞),Mooncake,1
2025-10-17,てる💫🌙,Crystal Rose,1
2025-10-17,すえぱぱ🔨(モカ🍫✨️のコーギー🐶🍞),Mooncake,1
2025-10-17,てる💫🌙,Popular Vote,1
2025-10-17,すえぱぱ🔨(モカ🍫✨️のコーギー🐶🍞),Strawberry Moon,10
2025-10-17,すえぱぱ🔨(モカ🍫✨️のコーギー🐶🍞),Strawberry Moon,10
2025-10-17,すえぱぱ🔨(モカ🍫✨️のコーギー🐶🍞),Strawberry Moon,10
2025-10-17,らぴす,Floating Lanterns,500
2025-10-17,てる💫🌙,Floating Lanterns,500
2025-10-17,すえぱぱ🔨(モカ🍫✨️のコーギー🐶🍞),Strawberry Moon,10
2025-10-17,るな,Floating Lanterns,500
2025-10-17,るな,Floating Lanterns,500
2025-10-17,るな,Floating Lanterns,500
2025-10-17,るな,Floating Lanterns,500
2025-10-17,てる💫🌙,Magic Hat,299
2025-10-17,珠理,Floating Lanterns,2500
2025-10-17,らぴす,Strawberry Moon,20
2025-10-17,すえぱぱ🔨(モカ🍫✨️のコーギー🐶🍞),Strawberry Moon,50
2025-10-17,haqsızlığa susma,Heart Me,1
2025-10-17,るな,Floating Lanterns,500
2025-10-17,るな,Floating Lanterns,500
2025-10-17,るな,Floating Lanterns,500
2025-10-17,るな,Floating Lanterns,500
2025-10-17,るな,Floating Lanterns,500
2025-10-17,るな,Floating Lanterns,500
2025-10-17,るな,Floating Lanterns,500
2025-10-17,るな,Floating Lanterns,500
2025-10-17,るな,Floating Lanterns,500
2025-10-17,るな,Floating Lanterns,500
2025-10-17,るな,Floating Lanterns,500
2025-10-17,るな,Floating Lanterns,500
2025-10-17,るな,Floating Lanterns,500
2025-10-17,るな,Floating Lanterns,500
2025-10-17,るな,Floating Lanterns,500
2025-10-17,鯉城大和⛩️⚔️🎏,Magic Hat,299
2025-10-17,鯉城大和⛩️⚔️🎏,Magic Hat,299
2025-10-17,鯉城大和⛩️⚔️🎏,Magic Hat,299
2025-10-17,鯉城大和⛩️⚔️🎏,Magic Hat,299
2025-10-17,すず,Strawberry Moon,50
2025-10-17,すず,Strawberry Moon,50
2025-10-17,すず,Strawberry Moon,50
2025-10-17,すず,Strawberry Moon,30
2025-10-17,のあ,Heart Me,1
2025-10-17,るな,Strawberry Moon,50
2025-10-17,るな,Strawberry Moon,20
2025-10-17,らぴす,Strawberry Moon,100
2025-10-17,珠理,Floating Lanterns,500
2025-10-17,珠理,Floating Lanterns,500
2025-10-17,珠理,Floating Lanterns,500
2025-10-17,珠理,Floating Lanterns,500
2025-10-17,らぴす,Strawberry Moon,10
2025-10-18,らぴす,Heart Me,1
2025-10-18,らぴす,Popular Vote,1
2025-10-18,haru  TDFクラン所属,Heart Me,1
