日付,ユーザー,ギフト名,合計コイン数
2025-10-09,💧잠수함💧,Rose,1
2025-10-09,💧잠수함💧,Rosa,10
2025-10-09,💧잠수함💧,Doughnut,30
2025-10-09,💧잠수함💧,Rosa,10
2025-10-09,💧잠수함💧,Hat and Mustache,99
2025-10-09,💧잠수함💧,Rosa,10
2025-10-09,💧잠수함💧,Finger Heart,5
2025-10-09,💧잠수함💧,Rose,1
2025-10-09,💧잠수함💧,GG,1
2025-10-09,💧잠수함💧,Cat Paws,1
2025-10-09,💧잠수함💧,TikTok,1
2025-10-09,💧잠수함💧,Nice to meet U,1
2025-10-09,💧잠수함💧,Love you so much,1
2025-10-09,💧잠수함💧,Baseball,1
2025-10-09,💧잠수함💧,Suprised Fish,1
2025-10-09,💧잠수함💧,You're awesome,1
2025-10-09,💧잠수함💧,Ice Cream Cone,1
2025-10-09,💧잠수함💧,Love Letter,1
2025-10-09,しょこぷー🐼🤍🖤,Rosa,10
2025-10-09,💧잠수함💧,Autumn heart,1
2025-10-09,💧잠수함💧,Seriously,5
2025-10-09,💧잠수함💧,Cute Cat,5
2025-10-09,💧잠수함💧,New Year Protect,5
2025-10-09,💧잠수함💧,Boxing Gloves,5
2025-10-09,💧잠수함💧,Fluffy Penguin,5
2025-10-09,💧잠수함💧,Fukkachan,10
2025-10-09,💧잠수함💧,Minecraft,10
2025-10-09,💧잠수함💧, Ice Lolly,10
2025-10-09,💧잠수함💧,Journey Pass,10
2025-10-09,💧잠수함💧,Gold Boxing Gloves,10
2025-10-09,💧잠수함💧,BFF Necklace,10
2025-10-09,💧잠수함💧,Moon Rabbit,10
2025-10-09,💧잠수함💧,nebaarukun,10
2025-10-09,💧잠수함💧,udonnoww,10
2025-10-09,ありだぶ🐬,Doughnut,30
2025-10-09,💧잠수함💧,Rosa,10
2025-10-09,💧잠수함💧,Corgi,299
2025-10-09,💧잠수함💧,Rosa,20
2025-10-09,💧잠수함💧,Rosa,10
2025-10-09,💧잠수함💧,Rosa,20
2025-10-09,💧잠수함💧,Rosa,100
2025-10-09,MIDI-みでぃ,Genius,50
2025-10-09,💧잠수함💧,Seriously,5
2025-10-09,💧잠수함💧,Nice to meet U,1
2025-10-09,MIDI-みでぃ,Rosa,10
2025-10-09,ありだぶ🐬,Doughnut,30
2025-10-09,どらごん🐲🎀,Heart Me,1
2025-10-09,どらごん🐲🎀,Popular Vote,3
2025-10-09,💧잠수함💧,Doughnut,30
2025-10-09,💧잠수함💧,Genius,50
2025-10-09,しょこぷー🐼🤍🖤,Rosa,10
2025-10-09,💧잠수함💧,Rosa,10
2025-10-09,研磨,Moon Rabbit,10
2025-10-09,🐕柴犬🌼🍁,Heart Me,1
2025-10-09,🐕柴犬🌼🍁,Corgi,299
2025-10-09,すけ,Rose,1
2025-10-09,より,Heart Me,1
2025-10-09,ありだぶ🐬,Doughnut,30
2025-10-09,🐕柴犬🌼🍁,Hat and Mustache,99
2025-10-09,🐕柴犬🌼🍁,Hat and Mustache,99
2025-10-09,🐕柴犬🌼🍁,Doughnut,30
2025-10-09,🐕柴犬🌼🍁,Doughnut,30
2025-10-09,ありだぶ🐬,Doughnut,30
2025-10-09,🐕柴犬🌼🍁,Hat and Mustache,99
2025-10-09,🐕柴犬🌼🍁,Hat and Mustache,99
2025-10-09,🐕柴犬🌼🍁,Hat and Mustache,99
2025-10-09,🐕柴犬🌼🍁,Doughnut,30
2025-10-09,🐕柴犬🌼🍁,Doughnut,30
2025-10-09,ありだぶ🐬,Doughnut,30
2025-10-09,🐕柴犬🌼🍁,Doughnut,30
2025-10-09,🐕柴犬🌼🍁,Doughnut,30
2025-10-09,🐕柴犬🌼🍁,Corgi,299
2025-10-09,小南 蛍🤍💤,Heart Me,1
2025-10-09,ありだぶ🐬,Doughnut,30
2025-10-09,ありだぶ🐬,Doughnut,60
2025-10-09,ありだぶ🐬,Doughnut,30
