日付,ユーザー,ギフト名,合計コイン数
2025-10-09,マサニキ⚡️🟣,Rose,10
2025-10-09,"""Re:non""🦌♦",Heart Me,1
2025-10-09,"""Re:non""🦌♦",Popular Vote,1
2025-10-09,クリンゼー,Nice to meet U,1
2025-10-09,ライク,Heart Me,1
2025-10-09,クリンゼー,Love you so much,1
2025-10-09,ライク,Rosa,20
2025-10-09,ライク,Doughnut,30
2025-10-09,ライク,Doughnut,30
2025-10-09,はれかぜ すぐと⚓️🐬,Heart Me,1
2025-10-09,はれかぜ すぐと⚓️🐬,Rosa,10
2025-10-09,はれかぜ すぐと⚓️🐬,Popular Vote,1
2025-10-09,クリンゼー,Team Cheers,1
2025-10-09,ライク,Doughnut,30
2025-10-09,おと！🌸🫧,Heart Me,1
2025-10-09,おと！🌸🫧,Popular Vote,1
2025-10-09,ライク,Doughnut,30
2025-10-09,ライク,Doughnut,30
2025-10-09,おと！🌸🫧,Genius,50
2025-10-09,ライク,Popular Vote,1
2025-10-09,いかもっち!!!,Heart Me,1
2025-10-09,いかもっち!!!,Genius,50
2025-10-09,いかもっち!!!,Genius,50
2025-10-09,いかもっち!!!,Genius,50
2025-10-09,おと！🌸🫧,Genius,50
2025-10-09,世紀末あほ🩷🎀(不思議生命体),Heart Me,1
2025-10-09,おと！🌸🫧,Rosa,10
2025-10-09,世紀末あほ🩷🎀(不思議生命体),Rosa,10
2025-10-09,世紀末あほ🩷🎀(不思議生命体),Rosa,10
2025-10-09,世紀末あほ🩷🎀(不思議生命体),Rosa,10
2025-10-09,おと！🌸🫧,Genius,50
2025-10-09,世紀末あほ🩷🎀(不思議生命体),Rosa,10
2025-10-09,世紀末あほ🩷🎀(不思議生命体),Rosa,10
2025-10-09,まったり,Doughnut,30
2025-10-09,まったり,Doughnut,30
2025-10-09,まったり,Doughnut,30
2025-10-09,まったり,Doughnut,30
2025-10-09,しろかい。,Rosa,10
2025-10-09,しろかい。,Heart Me,1
2025-10-09,しろかい。,Rosa,10
2025-10-09,散歩中の猫,Heart Me,1
2025-10-09,散歩中の猫,Popular Vote,1
2025-10-09,まったり,Doughnut,30
2025-10-09,散歩中の猫,Doughnut,30
2025-10-09,散歩中の猫,Rose,1
2025-10-09,浮羽ユカイ🐏🔔💚,Heart Me,1
2025-10-09,散歩中の猫,Doughnut,30
2025-10-09,浮羽ユカイ🐏🔔💚,Doughnut,30
2025-10-09,フォーチュン（奇跡のネームクリエイター）,Hat and Mustache,99
2025-10-09,フォーチュン（奇跡のネームクリエイター）,Doughnut,30
2025-10-09,浮羽ユカイ🐏🔔💚,Rosa,10
2025-10-09,浮羽ユカイ🐏🔔💚,Doughnut,30
2025-10-09,浮羽ユカイ🐏🔔💚,Doughnut,30
2025-10-09,浮羽ユカイ🐏🔔💚,Doughnut,30
2025-10-09,浮羽ユカイ🐏🔔💚,Rosa,10
2025-10-09,浮羽ユカイ🐏🔔💚,Doughnut,30
2025-10-09,浮羽ユカイ🐏🔔💚,Doughnut,30
2025-10-09,社不君（ENTP）🧸♠️,Rosa,10
2025-10-09,社不君（ENTP）🧸♠️,Rosa,10
2025-10-09,社不君（ENTP）🧸♠️,Rosa,20
2025-10-09,社不君（ENTP）🧸♠️,Rosa,10
2025-10-09,社不君（ENTP）🧸♠️,Rosa,10
2025-10-09,社不君（ENTP）🧸♠️,Doughnut,30
2025-10-09,社不君（ENTP）🧸♠️,Corgi,299
2025-10-09,社不君（ENTP）🧸♠️,Rose,1
2025-10-09,社不君（ENTP）🧸♠️,Cap,99
2025-10-09,社不君（ENTP）🧸♠️,Hand Heart,100
2025-10-09,社不君（ENTP）🧸♠️,Puppy Kisses,299
2025-10-09,社不君（ENTP）🧸♠️,Cap,99
2025-10-09,社不君（ENTP）🧸♠️,Hand Heart,100
2025-10-09,𝓴𝓸𝓫𝓮♡,Rose,3
2025-10-09,𝓴𝓸𝓫𝓮♡,You're awesome,1
2025-10-09,𝓴𝓸𝓫𝓮♡,Heart Me,1
