日付,ユーザー,ギフト名,合計コイン数
2025-10-09,萌音,Heart Me,1
2025-10-09,萌音,Popular Vote,1
2025-10-09,萌音,Super Popular,9
2025-10-09,ゆな  𓏲𓎨,Love you so much,1
2025-10-09,あかつ§,Heart Me,1
2025-10-09,ぱん,Heart Me,1
2025-10-09,あかつ§,Doughnut,30
2025-10-09,❕❕❕,Heart Me,1
2025-10-09,❕❕❕,Popular Vote,1
2025-10-09,❕❕❕,Rose,10
2025-10-09,❕❕❕,TikTok,10
2025-10-09,❕❕❕,Finger Heart,20
2025-10-09,❕❕❕,BFF Necklace,20
2025-10-09,❕❕❕,Perfume,20
2025-10-09,❕❕❕,Hat and Mustache,99
2025-10-09,るる𓏲𓎨,Heart Me,1
2025-10-09,るる𓏲𓎨,Popular Vote,1
2025-10-09,るる𓏲𓎨,Super Popular,9
2025-10-09,💜みとぅ♡.*MeToo🤍,Heart Me,1
2025-10-09,^. .^𓏲𓎨,Heart Me,1
2025-10-09,^. .^𓏲𓎨,Popular Vote,1
2025-10-09,^. .^𓏲𓎨,Doughnut,30
2025-10-09,るる𓏲𓎨,Doughnut,30
2025-10-09,るる𓏲𓎨,Doughnut,30
2025-10-09,^. .^𓏲𓎨,Doughnut,30
2025-10-09,^. .^𓏲𓎨,Doughnut,30
2025-10-09,^. .^𓏲𓎨,Doughnut,30
2025-10-09,^. .^𓏲𓎨,Doughnut,30
2025-10-09,^. .^𓏲𓎨,Doughnut,30
2025-10-09,SEINA,Heart Me,1
2025-10-09,^. .^𓏲𓎨,Doughnut,60
2025-10-09,^. .^𓏲𓎨,Doughnut,30
2025-10-09,^. .^𓏲𓎨,Doughnut,30
2025-10-09,^. .^𓏲𓎨,Doughnut,30
2025-10-09,^. .^𓏲𓎨,Puppy Kisses,299
2025-10-09,^. .^𓏲𓎨,Doughnut,30
2025-10-09,まいまい 𓏲𓎨♡,Heart Me,1
