日付,ユーザー,ギフト名,合計コイン数
2025-10-09,りんごあめ@何度目のギフ禁🍎🍭🎇,Heart Me,1
2025-10-09,きよ,Heart Me,1
2025-10-09,あさみん(◍•ᴗ•◍)🍑,Heart Me,1
2025-10-09,あさみん(◍•ᴗ•◍)🍑,Popular Vote,1
2025-10-09,世紀末あほ🩷🎀(不思議生命体),Heart Me,1
2025-10-09,あさみん(◍•ᴗ•◍)🍑,Doughnut,30
2025-10-09,ﾐｷﾞｶﾀﾆｺｶﾞﾈﾑｼ,Heart Me,1
2025-10-09,小南 蛍🤍💤,Heart Me,1
2025-10-09,小南 蛍🤍💤,Popular Vote,1
2025-10-09,小南 蛍🤍💤,Rose,1
2025-10-09,小南 蛍🤍💤,Rose,1
2025-10-09,小南 蛍🤍💤,Rose,1
2025-10-09,小南 蛍🤍💤,Rose,1
2025-10-09,小南 蛍🤍💤,Rose,1
2025-10-09,小南 蛍🤍💤,Rose,1
2025-10-09,小南 蛍🤍💤,Rose,1
2025-10-09,小南 蛍🤍💤,Rosa,10
2025-10-09,小南 蛍🤍💤,Rosa,10
2025-10-09,小南 蛍🤍💤,Rosa,10
2025-10-09,小南 蛍🤍💤,Rosa,10
2025-10-09,小南 蛍🤍💤,Rosa,10
2025-10-09,小南 蛍🤍💤,Rosa,10
2025-10-09,わんわん,Heart Me,1
2025-10-09,わんわん,Rose,1
2025-10-09,毒毒 /どくどく,Heart Me,1
