日時,ユーザー名,イベント種別,内容
2025-11-12 21:58:04,Protobuzz,comment,どっち欲しい？
2025-11-12 21:58:18,Protobuzz,gift,Judy x1 (20coin)
2025-11-12 21:58:18,Protobuzz,gift,Nick x1 (20coin)
2025-11-12 21:58:19,Protobuzz,gift,Judy x1 (20coin)
2025-11-12 21:58:22,Protobuzz,gift,Nick x1 (20coin)
2025-11-12 21:59:16,Protobuzz,comment,ひまだった
2025-11-12 21:59:20,Protobuzz,gift,Heart Me x1 (1coin)
2025-11-12 22:00:19,Protobuzz,gift,Judy x1 (20coin)
2025-11-12 22:00:20,Protobuzz,gift,Judy x2 (20coin)
2025-11-12 22:00:23,Protobuzz,gift,Judy x3 (20coin)
2025-11-12 22:00:26,Protobuzz,gift,Judy x3 (20coin)
2025-11-12 22:00:38,Protobuzz,comment,ww
2025-11-12 22:00:58,Protobuzz,gift,Judy x1 (20coin)
2025-11-12 22:01:01,Protobuzz,gift,Judy x1 (20coin)
2025-11-12 22:01:57,Protobuzz,comment,終わらせるんだよ！！がんばれ
2025-11-12 22:02:14,Protobuzz,comment,ばいばいジュディ
2025-11-12 22:02:41,Protobuzz,comment,9時に来れば大丈夫？
2025-11-12 22:03:42,Protobuzz,comment, 
