日時,ユーザー名,イベント種別,内容
2025-11-12 20:59:37,きづは🏅💘,gift,Heart Me x1 (1coin)
2025-11-12 20:59:44,きづは🏅💘,gift,Judy x1 (20coin)
2025-11-12 20:59:47,きづは🏅💘,gift,Nick x1 (20coin)
2025-11-12 20:59:47,きづは🏅💘,gift,Judy x1 (20coin)
2025-11-12 20:59:50,きづは🏅💘,gift,Nick x1 (20coin)
2025-11-12 21:00:06,きづは🏅💘,comment,やっと投げにこれたー！！こんばんわ〜！
2025-11-12 21:00:59,きづは🏅💘,comment,唐揚げいいな
2025-11-12 21:01:14,きづは🏅💘,comment,夜ご飯もつ鍋〜！🍲
2025-11-12 21:01:58,きづは🏅💘,comment,冬は鍋が1番🌟
2025-11-12 21:02:32,きづは🏅💘,comment,ないぎふー！
2025-11-12 21:02:40,きづは🏅💘,comment, 
2025-11-12 21:02:57,きづは🏅💘,comment,ジュディが挟まれてくww
2025-11-12 21:03:54,きづは🏅💘,comment,朝ごはん卵かけご飯食べて昼食べてない🙂‍↕️
2025-11-12 21:04:29,きづは🏅💘,comment,用事があって時間なかったの🥹👉🏻👈🏻
2025-11-12 21:05:05,きづは🏅💘,comment,車買うためにお出かけしてましたん🚗⁡
2025-11-12 21:05:50,きづは🏅💘,comment,やばいやばいww
2025-11-12 21:06:05,きづは🏅💘,comment,エヌボックスだよ🫶🏻
2025-11-12 21:06:21,きづは🏅💘,comment,そうそう
2025-11-12 21:06:44,きづは🏅💘,comment,あと少しで免許取れそうなんだ〜(、._. )、
2025-11-12 21:07:08,きづは🏅💘,comment,今月かな
2025-11-12 21:07:41,きづは🏅💘,comment,ゴールド免許キタコレ
2025-11-12 21:07:57,きづは🏅💘,comment,あれ
2025-11-12 21:08:24,きづは🏅💘,comment,乗り回してそうだったのに🤔
2025-11-12 21:08:49,きづは🏅💘,comment,エンジンかかってきた〜🫵🏻
2025-11-12 21:08:58,きづは🏅💘,comment,こわいーー🥺
2025-11-12 21:09:09,きづは🏅💘,comment,雪とブッキングしそうなんだよね
2025-11-12 21:09:51,きづは🏅💘,comment,北海道ほんと嫌⁡т ̫ т
2025-11-12 21:10:01,きづは🏅💘,comment,車でてきたw
2025-11-12 21:10:27,きづは🏅💘,comment,鹿のCMのやつだよ
2025-11-12 21:10:51,きづは🏅💘,comment,理解が早い
2025-11-12 21:11:10,きづは🏅💘,comment,レイさんさすが
2025-11-12 21:11:30,きづは🏅💘,comment,🦌
2025-11-12 21:11:45,きづは🏅💘,comment,わーい👏🏻👏🏻
2025-11-12 21:12:13,きづは🏅💘,comment,新車プレゼントきた
2025-11-12 21:12:48,きづは🏅💘,comment,仕事行くのに不便
