日時,ユーザー名,イベント種別,内容
2025-11-19 10:45:10,森林のアメル🌳,gift,Heart Me x1 (1coin)
2025-11-19 10:46:09,森林のアメル🌳,comment,配信終わるの？
2025-11-19 10:46:36,森林のアメル🌳,comment,バトルの相手困るよなー
2025-11-19 10:47:07,森林のアメル🌳,gift,Rose x100 (1coin)
2025-11-19 10:47:07,森林のアメル🌳,gift,Rose x100 (1coin)
2025-11-19 10:47:26,森林のアメル🌳,comment,まだ終わるには時期尚早だ。
2025-11-19 10:49:01,森林のアメル🌳,comment,クイック招待してこっ
2025-11-19 10:53:39,森林のアメル🌳,comment,くじけずいこ
2025-11-19 10:58:06,森林のアメル🌳,gift,Rose x1 (1coin)
2025-11-19 10:58:10,森林のアメル🌳,gift,Rose x1 (1coin)
2025-11-19 10:59:08,森林のアメル🌳,gift,Corgi x1 (299coin)
2025-11-19 10:59:43,森林のアメル🌳,comment,あちょ会社の会議あるんで潜ります
2025-11-19 11:01:49,森林のアメル🌳,comment,アイテム落ちてないですー
