日時,ユーザー名,イベント種別,内容
2025-11-16 21:07:58,狂気のプリンセスミレゴリ♠️🧬@11/25ガチ,gift,Heart Me x1 (1coin)
2025-11-16 21:08:03,狂気のプリンセスミレゴリ♠️🧬@11/25ガチ,gift,Popular Vote x1 (1coin)
2025-11-16 21:08:06,狂気のプリンセスミレゴリ♠️🧬@11/25ガチ,gift,Popular Vote x1 (1coin)
2025-11-16 21:08:09,狂気のプリンセスミレゴリ♠️🧬@11/25ガチ,comment,うっせww
2025-11-16 21:09:33,狂気のプリンセスミレゴリ♠️🧬@11/25ガチ,comment,詐欺に遭ったの？
2025-11-16 21:10:04,狂気のプリンセスミレゴリ♠️🧬@11/25ガチ,comment,え、あのポストのやつ？
2025-11-16 21:10:17,狂気のプリンセスミレゴリ♠️🧬@11/25ガチ,comment,そうそう
2025-11-16 21:10:35,狂気のプリンセスミレゴリ♠️🧬@11/25ガチ,comment,マジであの人？
2025-11-16 21:10:58,狂気のプリンセスミレゴリ♠️🧬@11/25ガチ,comment,え、れいぽよ被害に遭ってたの！？
2025-11-16 21:12:24,狂気のプリンセスミレゴリ♠️🧬@11/25ガチ,comment,キツいな
2025-11-16 21:12:52,狂気のプリンセスミレゴリ♠️🧬@11/25ガチ,comment,あれはビックリした
2025-11-16 21:14:18,狂気のプリンセスミレゴリ♠️🧬@11/25ガチ,comment,私奢っちゃう派ww
2025-11-16 21:14:28,狂気のプリンセスミレゴリ♠️🧬@11/25ガチ,comment,おー当たってるww
2025-11-16 21:14:55,狂気のプリンセスミレゴリ♠️🧬@11/25ガチ,comment,よくわかってるなww
