日時,ユーザー名,イベント種別,内容
2025-11-19 10:46:53,森虹まくら︎︎☁🌂,gift,Heart Me x1 (1coin)
2025-11-19 10:46:57,森虹まくら︎︎☁🌂,gift,Popular Vote x1 (1coin)
2025-11-19 10:47:01,森虹まくら︎︎☁🌂,gift,Popular Vote x1 (1coin)
2025-11-19 10:47:04,森虹まくら︎︎☁🌂,comment,おはようございますー！！
2025-11-19 10:48:13,森虹まくら︎︎☁🌂,comment,れいさんのバトルしたかったですーw
2025-11-19 10:50:34,森虹まくら︎︎☁🌂,comment,だれかー笑
2025-11-19 11:00:23,森虹まくら︎︎☁🌂,comment,ナイバトですー！！！
2025-11-19 11:00:33,森虹まくら︎︎☁🌂,comment,アイテム落ちましたかー？
2025-11-19 11:01:57,森虹まくら︎︎☁🌂,comment,ないかー
2025-11-19 11:02:17,森虹まくら︎︎☁🌂,comment,アイテムバラ1本で落ちる時ありますよねー
