日時,ユーザー名,イベント種別,内容
2025-11-12 21:42:07,もる,comment,こんばんはー
2025-11-12 21:43:00,もる,comment,なつ
2025-11-12 21:44:11,もる,comment,アプデがち激アツだった
2025-11-12 21:44:15,もる,gift,Heart Me x1 (1coin)
2025-11-12 21:44:17,もる,gift,Popular Vote x1 (1coin)
2025-11-12 21:44:20,もる,gift,Popular Vote x1 (1coin)
2025-11-12 21:45:00,もる,comment, 
2025-11-12 21:47:14,もる,comment,お金稼ぎ面白いよ
2025-11-12 21:47:47,もる,comment,株とかありますよ
2025-11-12 21:48:21,もる,comment, 
2025-11-12 21:48:43,もる,comment,忘れて枯れてしまったら
2025-11-12 21:49:42,もる,comment,まじ！やったら嬉しい
2025-11-12 21:50:17,もる,comment,始めたらうれぽよ
2025-11-12 21:50:55,もる,comment,楽しそう😆
2025-11-12 21:52:12,もる,comment,どうぞ！
2025-11-12 21:53:23,もる,comment,めっちゃ頑張ってる
2025-11-12 21:53:52,もる,comment,ギフト妨害しかやってないのがち凄み
2025-11-12 21:54:20,もる,comment,厳しい中やってるのガチ凄み
2025-11-12 21:56:52,もる,comment,2D化まじ楽しみ
2025-11-12 21:57:31,もる,comment, 
2025-11-12 21:58:16,もる,comment,キター激アツ
2025-11-12 21:58:27,もる,comment, 
2025-11-12 21:58:34,もる,comment, 
2025-11-12 21:59:37,もる,comment, 
2025-11-12 22:00:40,もる,comment,うぉぉー！w
2025-11-12 22:00:57,もる,comment, 
2025-11-12 22:01:35,もる,comment,おもしろwww
2025-11-12 22:02:06,もる,comment,ほとんど画面ジュディガチ草
2025-11-12 22:02:21,もる,comment, 
2025-11-12 22:03:32,もる,comment,🙌わーい
2025-11-12 22:03:49,もる,comment,お疲れ様ジュディ！
2025-11-12 22:03:52,もる,comment, 
2025-11-14 21:46:20,もる,comment,こんばんは
2025-11-14 21:46:21,もる,gift,Heart Me x1 (1coin)
2025-11-14 21:46:26,もる,gift,Popular Vote x1 (1coin)
2025-11-14 21:46:29,もる,gift,Popular Vote x1 (1coin)
2025-11-14 21:47:19,もる,comment,アクアマリンいいね
2025-11-14 21:47:32,もる,comment,あさみんさん
2025-11-14 21:47:50,もる,comment, 
2025-11-14 21:48:52,もる,comment,ルビーかっけぇ！赤好き
2025-11-14 21:49:52,もる,comment,大変重要なるべぇーる
2025-11-14 21:50:12,もる,comment, 
2025-11-14 21:51:04,もる,comment,おぉー✨最強だね
2025-11-14 21:51:37,もる,comment,10月どす！
2025-11-14 21:51:43,もる,comment,誤字った
2025-11-14 21:51:46,もる,comment, 
2025-11-14 21:52:46,もる,comment,そうなんです
2025-11-14 21:53:11,もる,comment,かっこいい！きたわ
2025-11-14 21:54:41,もる,comment,日本語にしたらシンプル
2025-11-14 21:55:24,もる,comment,😏😏😏
2025-11-14 21:56:30,もる,comment, 
2025-11-14 21:57:21,もる,comment,👏👏
2025-11-14 22:00:40,もる,comment, 
2025-11-14 22:01:53,もる,comment,ほほう
2025-11-14 22:02:10,もる,comment,👏👏✨️✨👏👏
2025-11-14 22:05:20,もる,comment,幸運だと
2025-11-14 22:07:31,もる,comment,首輪
2025-11-14 22:08:07,もる,comment, 
2025-11-14 22:09:20,もる,comment, 
2025-11-14 22:10:04,もる,comment,いいと思うよ
2025-11-14 22:10:31,もる,comment, 
2025-11-14 22:11:47,もる,comment, 
2025-11-14 22:12:13,もる,comment,お疲れ様です
2025-11-16 21:43:07,もる,gift,Heart Me x1 (1coin)
2025-11-16 21:43:10,もる,gift,Popular Vote x1 (1coin)
2025-11-16 21:43:14,もる,gift,Popular Vote x1 (1coin)
2025-11-16 21:43:18,もる,comment,こんばんは
2025-11-16 21:45:05,もる,comment,うんうん
2025-11-16 21:46:31,もる,comment,ジュディー！
2025-11-16 21:46:56,もる,comment, 
2025-11-16 21:47:24,もる,comment, 
2025-11-16 21:49:36,もる,comment,ラストかーはや
2025-11-16 21:50:45,もる,comment,16日？w🤨🤨🤨
2025-11-16 21:52:03,もる,comment, 
2025-11-16 21:52:43,もる,comment, 
2025-11-16 21:53:10,もる,comment,コンビニダッシュが始まるか
2025-11-16 21:53:44,もる,comment,桃鉄大好き
2025-11-16 21:53:54,もる,comment,新作買いました✌️
2025-11-16 21:54:38,もる,comment,😎😎😎
2025-11-16 21:55:36,もる,comment,わーい😆
2025-11-16 21:57:23,もる,comment, 
2025-11-16 21:58:14,もる,comment,アイコン女性かと思ったらイケメンだったw
2025-11-16 21:59:57,もる,comment,はやーい
2025-11-16 22:00:15,もる,comment,1.6K激アツ🔥
2025-11-16 22:00:56,もる,comment,おぉ
2025-11-16 22:01:06,もる,comment, 
2025-11-16 22:01:22,もる,comment,キター🥰すごい初めて見た
2025-11-16 22:01:26,もる,comment, 
2025-11-16 22:01:52,もる,comment,まじ！
2025-11-16 22:02:08,もる,comment,あさみさん！
2025-11-16 22:02:15,もる,comment, 
2025-11-16 22:02:49,もる,comment,C帯スゴすぎ
2025-11-16 22:04:11,もる,comment, 
2025-11-16 22:05:10,もる,comment,お疲れ様です🍵
2025-11-16 22:05:40,もる,comment,👏👏👏👏👏👏
2025-11-16 22:05:48,もる,comment, 
2025-11-16 22:05:52,もる,comment, 
