日時,ユーザー名,イベント種別,内容
2025-11-12 20:12:30,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,gift,Popular Vote x1 (1coin)
2025-11-12 20:12:31,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,gift,Heart Me x1 (1coin)
2025-11-12 20:12:34,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,gift,Popular Vote x1 (1coin)
2025-11-12 20:12:53,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,comment,
2025-11-13 20:03:15,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,comment,こんばんは〜
2025-11-13 20:04:03,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,comment,
2025-11-13 20:06:31,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,comment,週6日4㌔ちょいを自転車通勤はしてます
2025-11-14 20:19:17,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,gift,Popular Vote x1 (1coin)
2025-11-14 20:19:18,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,gift,Heart Me x1 (1coin)
2025-11-14 20:19:20,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,gift,Popular Vote x1 (1coin)
2025-11-14 20:19:29,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,comment,こんばんは
