日時,ユーザー名,イベント種別,内容
2025-11-16 20:20:56,レモン少年,gift,Heart Me x1 (1coin)
2025-11-16 20:21:02,レモン少年,gift,Popular Vote x1 (1coin)
2025-11-16 20:21:04,レモン少年,gift,Popular Vote x1 (1coin)
2025-11-16 20:21:34,レモン少年,comment,レイさん！👀
2025-11-16 20:21:47,レモン少年,comment,詐欺！？！
2025-11-16 20:23:17,レモン少年,comment,かっこいい
2025-11-16 20:25:21,レモン少年,comment,ネットって怖いですね、、
2025-11-16 20:25:36,レモン少年,gift,New Year Protect x1 (5coin)
2025-11-16 20:25:39,レモン少年,gift,New Year Protect x1 (5coin)
2025-11-16 20:35:55,レモン少年,comment,パスタです！🍝
2025-11-16 20:37:01,レモン少年,comment,ミートソースパスタって好きですか😳
2025-11-16 20:39:53,レモン少年,comment,好きです！
2025-11-16 20:43:02,レモン少年,comment,主夫さんですね！
2025-11-16 20:45:47,レモン少年,comment,人に会いたいですね、、
2025-11-16 20:50:47,レモン少年,comment,とっても大変ですよね、、
