日時,ユーザー名,イベント種別,内容
2025-11-16 20:21:50,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Heart Me x1 (1coin)
2025-11-16 20:22:00,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,comment,エヴァ！！！
2025-11-16 20:22:45,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,comment,警察沙汰になってるよ今たぶん、おいらと思ってるおんなじ人だと思うけど
2025-11-16 20:22:49,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,comment,でもうまいやん
2025-11-16 20:23:14,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Popular Vote x1 (1coin)
2025-11-16 20:23:18,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Popular Vote x1 (1coin)
2025-11-16 20:24:00,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,comment,一人は返ってきそうよ
2025-11-16 20:24:18,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,comment,いま拡散されてるからね
2025-11-16 20:24:59,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,comment,ネットの恐ろしさを再確認したね
2025-11-16 20:25:15,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,New Year Protect x5 (5coin)
2025-11-16 20:25:15,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,New Year Protect x5 (5coin)
2025-11-16 20:26:44,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,comment,おいらも同じような目にあったことがあるから人間不信になってらぁ
2025-11-16 20:27:02,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Judy x1 (20coin)
2025-11-16 20:27:02,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Nick x1 (20coin)
2025-11-16 20:27:03,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Judy x1 (20coin)
2025-11-16 20:27:05,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,You're awesome x1 (1coin)
2025-11-16 20:27:05,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Nick x1 (20coin)
2025-11-16 20:27:08,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,You're awesome x1 (1coin)
2025-11-16 20:27:40,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Judy x1 (20coin)
2025-11-16 20:27:40,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Nick x1 (20coin)
2025-11-16 20:27:40,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Judy x1 (20coin)
2025-11-16 20:27:43,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Nick x1 (20coin)
2025-11-16 20:28:22,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Judy x1 (20coin)
2025-11-16 20:28:22,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Judy x2 (20coin)
2025-11-16 20:28:24,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Nick x1 (20coin)
2025-11-16 20:28:24,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Nick x2 (20coin)
2025-11-16 20:28:24,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Judy x2 (20coin)
2025-11-16 20:28:28,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Nick x2 (20coin)
2025-11-16 20:28:38,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Judy x1 (20coin)
2025-11-16 20:28:42,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Nick x1 (20coin)
2025-11-16 20:28:42,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Judy x1 (20coin)
2025-11-16 20:28:43,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Judy x1 (20coin)
2025-11-16 20:28:43,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Nick x1 (20coin)
2025-11-16 20:28:43,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Nick x1 (20coin)
2025-11-16 20:28:43,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Judy x1 (20coin)
2025-11-16 20:28:44,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Judy x1 (20coin)
2025-11-16 20:28:44,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Nick x1 (20coin)
2025-11-16 20:28:45,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Nick x1 (20coin)
2025-11-16 20:28:45,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Judy x1 (20coin)
2025-11-16 20:28:46,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Judy x1 (20coin)
2025-11-16 20:28:46,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Nick x1 (20coin)
2025-11-16 20:28:47,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Nick x1 (20coin)
2025-11-16 20:28:47,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Judy x1 (20coin)
2025-11-16 20:28:50,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,gift,Nick x1 (20coin)
2025-11-16 20:29:10,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,comment,ふるえてらぁ
2025-11-16 20:29:29,宵代 夢吉💤🩵11/15ﾊﾌｱﾆ🎊,comment,16な
